"b1_9"     "a1"     "c1"     "b2_9"     "a2"     "c2"     "b3"     "a3"     "c3"     "Y1_gamma1"     "Y1_gamma2"     "LogPost"     "k1_11"     "k2_11"     "k3_11"     "ktype1_11"     "ktype2_11"     "ktype3_11"
-7.35143     14.4501     1.68107     -1.84472     132.528     1.7188     8.50404     38.8372     1.6726     92.1326     0.00199066     -2130.28     -3.37348     -1.35544     8.50404     0     3     0
-7.1654     13.7086     1.64424     -1.73498     132.355     1.72034     8.09476     42.0001     1.71499     90.1857     0.00327402     -2118.27     -3.73547     -1.45546     8.09476     0     3     0
-6.43945     14.8721     1.64424     -1.79658     132.422     1.71818     8.5123     53.9028     1.63872     92.0507     0.00327402     -2117.85     -3.74238     -1.3381     8.5123     0     3     0
-6.4412     16.8354     1.64556     -1.88883     132.422     1.71503     8.05467     69.0438     1.65831     101.301     0.00207706     -2110.56     -3.68876     -1.43693     8.05467     0     3     0
-7.8544     13.8736     1.64556     -1.77945     131.796     1.71671     7.63467     64.8153     1.65308     96.113     0.0029971     -2117.61     -3.75966     -1.44242     7.63467     0     3     0
-7.4218     14.6162     1.63169     -1.87145     131.796     1.71753     7.91896     65.3686     1.65308     93.5201     0.00256051     -2123.26     -3.71982     -1.4582     7.91896     0     3     0
-7.27837     13.2286     1.68403     -1.87145     130.704     1.71753     8.13321     90.6872     1.66273     101.9     0.00256051     -2115.9     -3.76351     -1.68177     8.13321     0     3     0
-6.3687     14.63     1.68403     -1.87145     130.704     1.72025     8.22297     77.8023     1.68333     100.388     0.00274983     -2111.95     -4.01534     -1.37953     8.22297     0     3     0
-4.99603     16.0706     1.67966     -1.81464     130.101     1.72244     8.7649     98.8195     1.6753     88.1284     0.0029784     -2123.81     -4.70613     -1.03685     8.7649     0     3     0
-4.62538     16.6616     1.61497     -1.79581     131.695     1.7201     8.52055     89.2795     1.6839     93.9413     0.000590833     -2118.66     -3.97941     -1.39682     8.52055     0     3     0
-5.93264     15.0767     1.68485     -1.76733     129.539     1.73132     8.93717     108.652     1.6839     87.1461     0.000339475     -2122.39     -4.4734     -1.04168     8.93717     0     3     0
-6.75844     13.0131     1.68874     -1.76733     129.539     1.72873     8.46443     66.749     1.65873     95.3919     0.00209006     -2119.5     -3.24161     -1.64428     8.46443     0     3     0
-6.67448     14.6258     1.6377     -1.82158     130.823     1.71964     8.3103     88.416     1.67852     93.2203     0.00279861     -2116.33     -3.88648     -1.38067     8.3103     0     3     0
-5.7258     15.1014     1.61974     -1.88155     129.926     1.72003     8.19805     76.7813     1.67852     89.7436     0.00649147     -2120.17     -3.64842     -1.45085     8.19805     0     3     0
-4.9276     16.818     1.64088     -1.8507     130.464     1.7218     8.19805     58.7592     1.65812     91.9449     0.0015681     -2113.24     -3.83897     -1.16572     8.19805     0     3     0
-6.08441     14.2413     1.64414     -1.72632     130.294     1.71946     8.02319     92.6393     1.65812     89.864     0.00536847     -2115.99     -3.89476     -1.37223     8.02319     0     3     0
