"b1_2"     "a1"     "c1"     "b2_2"     "a2"     "c2"     "b3"     "a3"     "c3"     "Y1_gamma1"     "Y1_gamma2"     "LogPost"     "k1_11"     "k2_11"     "k3_11"     "ktype1_11"     "ktype2_11"     "ktype3_11"
-5.52709     21.2599     1.66761     -2.12309     104.759     1.7798     7.91133     59.726     1.6434     150.838     0.00102501     -2202.04     -4.73308     -1.71136     7.91133     0     3     0
-6.08749     20.9951     1.66974     -2.09228     105.448     1.77889     8.02595     85.1474     1.69391     154.325     0.000207088     -2211.37     -5.2058     -1.52526     8.02595     0     3     0
-4.58263     21.5335     1.64354     -2.07072     106.152     1.77849     7.46812     85.355     1.63877     140.223     0.00253437     -2205.14     -4.77291     -1.82588     7.46812     0     3     0
-6.98951     17.9725     1.67641     -2.07072     106.702     1.77911     7.82136     54.4786     1.68271     140.199     0.00149422     -2198.35     -4.76495     -1.83389     7.82136     0     3     0
-4.95789     21.0017     1.64755     -2.09864     105.955     1.78365     8.24662     60.629     1.6603     155.779     0.000968788     -2202.78     -4.65936     -1.77099     8.24662     0     3     0
-6.65543     24.433     1.62505     -2.05581     105.955     1.77925     8.56874     138.406     1.68315     156.784     0.000968788     -2210.45     -4.57215     -1.70132     8.56874     0     3     0
-6.33349     17.5324     1.65558     -2.08782     105.677     1.78004     8.49493     108.505     1.65147     144.654     0.000968788     -2204.92     -4.46322     -2.01025     8.49493     0     3     0
-6.95433     14.6127     1.6584     -2.08782     104.511     1.78132     8.16718     108.505     1.66096     126.834     0.0043279     -2203.22     -4.55188     -2.07387     8.16718     0     3     0
-7.47807     15.4036     1.66702     -2.10843     104.511     1.78438     8.068     112.112     1.63936     139.176     0.000923425     -2203.34     -4.8552     -1.96355     8.068     0     3     0
-7.14601     16.1102     1.67442     -2.17241     105.299     1.77124     7.76935     83.9803     1.65924     136.457     0.0033812     -2205.47     -4.56242     -2.1574     7.76935     0     3     0
-5.0871     15.4421     1.65856     -2.21997     104.423     1.77124     7.29963     74.7083     1.67142     143.561     0.00158134     -2211.59     -4.77891     -2.03148     7.29963     0     3     0
-6.69644     23.0377     1.6732     -2.17623     105.17     1.77004     7.35367     77.2325     1.67928     159.237     0.00306684     -2208.94     -4.77885     -1.79913     7.35367     0     3     0
-6.21051     18.5728     1.68659     -2.21633     105.417     1.7654     7.45793     77.2325     1.69825     151.876     0.00206382     -2209.76     -4.52746     -2.03004     7.45793     0     3     0
-6.0592     19.2493     1.68659     -2.21633     104.329     1.7663     7.77853     117.27     1.68847     158.854     0.00173725     -2209.26     -4.6419     -1.88498     7.77853     0     3     0
-5.60668     21.111     1.64467     -2.21633     105.466     1.76974     7.97659     96.6429     1.64182     159.398     0.00327664     -2210.55     -4.95727     -1.92442     7.97659     0     3     0
-7.90299     15.4629     1.65165     -2.16538     105.896     1.76799     7.74984     109.048     1.65291     147.959     0.000880607     -2203.3     -4.73667     -2.17856     7.74984     0     3     0
-3.14359     16.894     1.62247     -2.14049     107.252     1.76883     8.17028     117.832     1.69251     132.804     0.00303012     -2209.45     -4.55565     -2.07562     8.17028     0     3     0
-4.96618     15.5982     1.64617     -2.05325     107.87     1.77158     7.72023     88.6747     1.6297     145.841     0.00317478     -2206.19     -4.63706     -2.08223     7.72023     0     3     0
-4.26766     16.9944     1.63296     -2.05626     107.807     1.77158     8.4289     118.744     1.67806     152.897     0.00196667     -2208.67     -4.37096     -2.12333     8.4289     0     3     0
-6.71579     18.8309     1.65997     -2.08542     107.522     1.77261     8.07583     96.7684     1.65379     139.7     0.000765918     -2204.17     -4.51301     -1.96995     8.07583     0     3     0
-4.29374     18.9553     1.67205     -2.09415     107.579     1.77121     7.86116     81.5033     1.65977     153.799     0.000765918     -2201.86     -4.63969     -1.91521     7.86116     0     3     0
-6.96143     18.9553     1.67205     -2.11618     107.292     1.76689     7.45524     89.9394     1.64265     139.592     0.000765918     -2204.3     -4.6738     -1.88679     7.45524     0     3     0
-6.03803     18.244     1.66625     -2.14336     107.292     1.77096     7.3163     76.4107     1.66618     162.284     0.000765918     -2209.33     -4.68963     -1.87831     7.3163     0     3     0
-6.65327     18.0711     1.66623     -2.08537     106.923     1.77258     8.25781     81.7192     1.66618     139.621     0.00270086     -2199.63     -4.75169     -1.93624     8.25781     0     3     0
-4.08609     16.1562     1.66348     -2.04067     106.57     1.77574     7.77795     107.008     1.66751     139.621     0.00180822     -2204.49     -4.78714     -1.94384     7.77795     0     3     0
-3.43428     15.615     1.64374     -2.07959     106.39     1.77882     7.76883     97.7121     1.69926     138.261     0.00181154     -2203.74     -4.72184     -2.01018     7.76883     0     3     0
-6.30682     20.7439     1.64502     -2.10921     104.861     1.78104     8.10071     143.172     1.6837     131.934     0.00392089     -2202.12     -4.62343     -1.7998     8.10071     0     3     0
-5.02787     17.7062     1.66462     -2.11617     104.535     1.77766     7.84224     87.1032     1.64833     138.82     0.00392089     -2200.78     -4.75511     -1.85025     7.84224     0     3     0
-6.95563     17.8004     1.64937     -2.17759     104.2     1.7771     7.54993     104.422     1.63992     144.186     0.00224722     -2198.74     -4.68125     -1.9418     7.54993     0     3     0
-6.95563     17.1008     1.62957     -2.08757     104.756     1.78072     7.82891     84.3318     1.65754     144.006     0.0035659     -2202.68     -4.90465     -1.85748     7.82891     0     3     0
-8.18911     16.3375     1.6326     -2.13762     104.91     1.78147     7.62397     60.6504     1.66743     157.676     0.00462325     -2210.45     -4.93025     -2.00595     7.62397     0     3     0
-6.94372     17.5953     1.67096     -2.08806     104.059     1.78208     7.95605     80.9286     1.66547     126.039     0.00182333     -2203.08     -4.63585     -1.94386     7.95605     0     3     0
-6.62531     17.5953     1.68443     -2.13716     102.475     1.78763     7.39224     50.3885     1.68758     147.817     0.0029205     -2204.97     -4.65207     -1.93572     7.39224     0     3     0
-7.86254     17.2147     1.65669     -2.13716     102.162     1.7884     7.81612     72.2278     1.64916     131.341     0.00160985     -2203.18     -4.79527     -1.8545     7.81612     0     3     0
-6.40011     22.8971     1.66844     -2.13618     102.836     1.78838     8.52487     135.926     1.66592     138.603     0.00186723     -2196.11     -4.69344     -1.60972     8.52487     0     3     0
-4.50789     22.8971     1.66753     -2.11627     102.795     1.78858     8.09579     83.1197     1.67113     139.047     0.00186723     -2198.31     -4.45196     -1.85936     8.09579     0     3     0
-3.53537     27.1191     1.66451     -2.07592     104.018     1.78858     8.01144     58.0786     1.68692     148.037     0.00134157     -2199.19     -4.61254     -1.57978     8.01144     0     3     0
-5.24562     24.6036     1.66451     -2.13568     103.366     1.78917     8.26036     53.6423     1.6715     130.613     0.00515726     -2199.38     -4.82655     -1.46182     8.26036     0     3     0
-4.33099     21.9996     1.67581     -2.13568     102.457     1.79357     8.03711     61.5369     1.65869     133.097     0.00470519     -2199.43     -4.52392     -1.74642     8.03711     0     3     0
-5.76864     22.3789     1.66981     -2.13568     101.845     1.79692     8.31706     125.987     1.64425     137.325     0.00269109     -2200     -4.54322     -1.7187     8.31706     0     3     0
-5.35956     21.7276     1.65681     -2.08564     102.558     1.79692     8.0222     54.8383     1.66722     123.693     0.00250221     -2204.8     -4.74891     -1.68942     8.0222     0     3     0
-4.56038     19.6228     1.66429     -2.12915     102.299     1.79118     7.38269     44.5099     1.67672     147.24     0.00147065     -2202.8     -4.46765     -1.94038     7.38269     0     3     0
-5.6159     19.4495     1.67378     -2.10604     101.743     1.79113     7.3625     72.3687     1.64692     126.001     0.00153401     -2204.24     -4.30627     -2.01081     7.3625     0     3     0
