"b1_5"     "a1"     "c1"     "b2_5"     "a2"     "c2"     "Y1_gamma1"     "Y1_gamma2"     "LogPost"     "k1_5"     "k2_5"     "ktype1_5"     "ktype2_5"
-2.56704     121.795     1.65462     0.997422     178.472     1.64024     3.09953     0.00193369     -1366.56     -2.89154     0.891481     0     0
-2.60169     122.138     1.65462     0.419523     184.792     1.67011     3.84783     0.00290916     -1371.19     -2.67274     0.720035     0     0
-2.65996     122.045     1.64834     0.877785     181.794     1.63982     0.941167     0.000638773     -1368.14     -2.50395     0.965003     0     0
-2.65996     120.525     1.65932     0.748099     183.951     1.67715     4.54445     0.000638773     -1367.65     -2.56129     0.793032     0     0
-2.65565     119.408     1.66779     0.900832     180.235     1.67715     0.497235     0.00202591     -1360.89     -2.5176     1.12519     0     0
-2.73376     118.096     1.66917     0.957133     195.269     1.64134     0.571382     0.00202591     -1366.41     -2.6754     1.18224     0     0
-2.55082     118.096     1.66581     0.756054     195.269     1.60146     4.36374     0.00053073     -1368.45     -2.49532     0.999346     0     0
-2.7185     117.857     1.66581     0.716778     191.681     1.60146     0.292408     0.00610412     -1371.5     -2.85154     0.998846     0     0
-2.65102     116.546     1.66494     0.514023     181.985     1.63354     2.51516     0.000172377     -1365.99     -2.86786     0.563645     0     0
-2.68808     117.277     1.66494     0.690398     185.679     1.645     0.216856     0.00356331     -1368.16     -2.59243     1.07463     0     0
-2.63121     117.061     1.66602     0.927976     187.078     1.62357     0.216856     0.00111803     -1370.08     -2.64655     1.02518     0     0
-2.63121     116.639     1.66894     0.639996     169.238     1.69524     1.04649     0.00244922     -1371.02     -2.74024     0.922213     0     0
-2.65812     118.056     1.66894     0.702532     174.665     1.67191     0.333479     0.00563058     -1367.47     -2.68325     1.09658     0     0
-2.69607     117.531     1.6758     0.81469     178.286     1.67191     0.333479     0.00577462     -1364.02     -2.40574     1.02179     0     0
-2.65696     117.531     1.67629     0.688247     178.286     1.65738     6.49847     0.000120282     -1366.67     -2.80259     0.919953     0     0
-2.67629     118.423     1.6649     0.866892     177.504     1.67687     5.45533     0.000120282     -1364.41     -2.52009     1.10932     0     0
-2.68838     119.629     1.6649     0.75744     172.029     1.65158     1.33457     0.00135093     -1366.2     -2.40607     0.827314     0     0
-2.64328     119.128     1.66368     0.948939     189.032     1.63565     2.28626     0.00994956     -1368.23     -2.81359     0.971361     0     0
-2.66742     120.159     1.66021     0.575297     186.15     1.64107     3.07223     0.001559     -1365.29     -2.70604     0.526407     0     0
-2.59433     119.984     1.66379     0.949319     177.329     1.64037     0.52499     0.0043129     -1362.93     -2.70604     0.774392     0     0
-2.61155     120.385     1.67452     0.798158     189.094     1.61931     4.44002     0.00168823     -1363.9     -2.45373     1.07566     0     0
-2.60632     118.889     1.68206     0.929202     189.094     1.63789     8.05343     0.000663051     -1367.01     -2.33934     1.16626     0     0
-2.60632     119.338     1.69105     0.970118     180.262     1.63789     0.180359     0.000663051     -1370.61     -2.47923     1.27919     0     0
-2.6446     119.44     1.67922     1.08311     198.343     1.63789     0.807205     8.42059e-05     -1369.58     -2.45433     1.09864     0     0
-2.64335     120.168     1.67888     0.917471     197.313     1.62014     2.64739     0.00173596     -1366.96     -2.46385     1.27237     0     0
-2.64427     119.953     1.67888     1.03899     191.422     1.63909     2.35325     0.00173596     -1368.98     -2.45018     1.27237     0     0
-2.64427     119.854     1.6787     0.7612     204.268     1.60562     3.64572     0.00282127     -1371.31     -2.68328     0.80597     0     0
-2.64651     120.07     1.67639     0.931607     203.673     1.63121     3.65799     0.00946153     -1373.63     -2.65746     1.24295     0     0
-2.60905     120.45     1.66338     1.21277     212.693     1.62901     10.6838     0.00498979     -1377.58     -2.60747     1.52459     0     0
-2.68258     118.808     1.66284     1.05247     185.858     1.64428     1.04363     0.00042865     -1364.5     -2.53825     1.09535     0     0
-2.7002     118.276     1.66276     0.912056     185.858     1.66067     1.08112     0.00700517     -1365.59     -2.79364     0.877444     0     0
-2.70139     119.007     1.65212     0.489836     182.212     1.67169     8.76084     0.000794632     -1373.28     -2.51437     0.591535     0     0
-2.61323     121.485     1.63875     0.570858     186.301     1.6502     7.51121     0.00590745     -1373.22     -2.94935     0.947521     0     0
-2.73075     121.734     1.6405     0.702175     196.699     1.64049     3.83281     0.00116234     -1367.96     -2.77271     0.781434     0     0
-2.67442     121.289     1.64413     0.785477     191.144     1.64049     4.38358     0.0044112     -1365.81     -2.54381     1.09998     0     0
-2.74964     122.499     1.6416     0.989712     179.603     1.675     6.45501     0.00162587     -1366.1     -2.52323     1.05189     0     0
-2.64139     122.397     1.63507     1.06983     169.428     1.65338     4.70186     0.00244692     -1370.18     -2.71172     0.736412     0     0
-2.67505     122.224     1.63558     0.931783     166.333     1.6746     9.71036     0.00518652     -1373.16     -2.84586     1.09867     0     0
-2.62288     123.033     1.63831     0.774874     163.452     1.70229     3.18212     0.00251459     -1370.65     -2.59523     0.528456     0     0
-2.69425     121.176     1.64016     0.738305     164.981     1.71303     1.63283     0.0128567     -1377.89     -2.82182     0.401285     0     0
-2.65847     121.857     1.64104     0.956117     173.847     1.67804     4.35282     0.0047978     -1364.86     -2.66429     1.02592     0     0
-2.5994     122.367     1.66238     0.695036     167.846     1.65345     1.04476     0.00402162     -1368.58     -2.41581     0.940286     0     0
-2.64821     122.757     1.66514     0.87947     167.855     1.63142     1.5795     0.000861226     -1368.42     -2.44063     1.24117     0     0
-2.58006     123.214     1.66359     0.668468     162.461     1.65119     5.33406     0.00441298     -1365.77     -2.5645     0.756456     0     0
-2.56256     123.061     1.66693     0.803122     176.905     1.6488     3.02318     0.00852132     -1369.89     -2.7284     0.710744     0     0
-2.54659     123.061     1.66606     0.691835     181.181     1.60736     6.69162     0.000341409     -1369.62     -2.65839     0.76778     0     0
-2.59582     123.35     1.66744     0.950547     170.039     1.66734     12.9814     0.000341409     -1367.75     -2.69284     0.90213     0     0
-2.5851     123.432     1.66711     0.636788     165.846     1.66821     13.0729     0.000341409     -1366.09     -2.45455     0.941672     0     0
-2.59769     123.845     1.66254     0.811605     176.203     1.6756     5.53699     0.00185838     -1368.73     -2.52394     1.05375     0     0
-2.59769     123.678     1.66988     1.01024     178.555     1.65649     4.66652     0.000580262     -1371.27     -2.2545     1.1745     0     0
