X1_obs         X1_true        Y1_obs         Y1_unbiased    Y1_sim         Y1_res         Y1_stdres      
   0.208000E+01   0.208000E+01   0.132700E+04   0.132700E+04   0.136835E+04  -0.413488E+02  -0.386909E+00
   0.635000E+01   0.635000E+01   0.485000E+04   0.485000E+04   0.485379E+04  -0.378525E+01  -0.234998E-01
   0.619000E+01   0.619000E+01   0.463000E+04   0.463000E+04   0.469159E+04  -0.615915E+02  -0.392708E+00
   0.620000E+01   0.620000E+01   0.463000E+04   0.463000E+04   0.470166E+04  -0.716604E+02  -0.456882E+00
   0.581000E+01   0.581000E+01   0.429500E+04   0.429500E+04   0.431577E+04  -0.207659E+02  -0.138046E+00
   0.502000E+01   0.502000E+01   0.363000E+04   0.363000E+04   0.357737E+04   0.526279E+02   0.380436E+00
   0.201000E+01   0.201000E+01   0.139400E+04   0.139400E+04   0.132677E+04   0.672337E+02   0.626298E+00
   0.203000E+01   0.203000E+01   0.141400E+04   0.141400E+04   0.133859E+04   0.754083E+02   0.701286E+00
   0.157000E+01   0.157000E+01   0.109000E+04   0.109000E+04   0.107795E+04   0.120522E+02   0.114977E+00
   0.348000E+01   0.348000E+01   0.219800E+04   0.219800E+04   0.231053E+04  -0.112535E+03  -0.965485E+00
   0.336000E+01   0.336000E+01   0.208200E+04   0.208200E+04   0.222174E+04  -0.139740E+03  -0.121389E+01
   0.391000E+01   0.391000E+01   0.280900E+04   0.280900E+04   0.264069E+04   0.168306E+03   0.134819E+01
   0.433000E+01   0.433000E+01   0.320500E+04   0.320500E+04   0.298098E+04   0.224018E+03   0.170997E+01
   0.437000E+01   0.437000E+01   0.322100E+04   0.322100E+04   0.301430E+04   0.206704E+03   0.157446E+01
   0.677000E+01   0.677000E+01   0.545100E+04   0.545100E+04   0.529057E+04   0.160432E+03   0.927287E+00
   0.832000E+01   0.832000E+01   0.712400E+04   0.712400E+04   0.703946E+04   0.845427E+02   0.405059E+00
   0.498000E+01   0.498000E+01   0.347700E+04   0.347700E+04   0.354155E+04  -0.645498E+02  -0.475253E+00
   0.207000E+01   0.207000E+01   0.147700E+04   0.147700E+04   0.136238E+04   0.114625E+03   0.106050E+01
   0.735000E+01   0.735000E+01   0.577200E+04   0.577200E+04   0.591968E+04  -0.147675E+03  -0.820966E+00
   0.740000E+01   0.740000E+01   0.585400E+04   0.585400E+04   0.597530E+04  -0.121302E+03  -0.668072E+00
   0.747000E+01   0.747000E+01   0.586500E+04   0.586500E+04   0.605355E+04  -0.188549E+03  -0.103683E+01
   0.160000E+01   0.160000E+01   0.109800E+04   0.109800E+04   0.109422E+04   0.378364E+01   0.360706E-01
   0.144000E+01   0.144000E+01   0.108800E+04   0.108800E+04   0.100865E+04   0.793548E+02   0.757746E+00
   0.137000E+01   0.137000E+01   0.954000E+03   0.954000E+03   0.972137E+03  -0.181373E+02  -0.174633E+00
   0.990000E+00   0.990000E+00   0.785000E+03   0.785000E+03   0.783993E+03   0.100683E+01   0.980014E-02
   0.440000E+01   0.440000E+01   0.318200E+04   0.318200E+04   0.303938E+04   0.142616E+03   0.109104E+01
   0.440000E+01   0.440000E+01   0.316400E+04   0.316400E+04   0.303938E+04   0.124616E+03   0.955335E+00
   0.272000E+01   0.272000E+01   0.175800E+04   0.175800E+04   0.177331E+04  -0.153100E+02  -0.137724E+00
   0.270000E+01   0.270000E+01   0.176600E+04   0.176600E+04   0.175999E+04   0.601152E+01   0.540472E-01
   0.682000E+01   0.682000E+01   0.545700E+04   0.545700E+04   0.534362E+04   0.113378E+03   0.654711E+00
   0.681000E+01   0.681000E+01   0.535300E+04   0.535300E+04   0.533299E+04   0.200067E+02   0.116914E+00
   0.750000E+01   0.750000E+01   0.626900E+04   0.626900E+04   0.608721E+04   0.181785E+03   0.956197E+00
   0.752000E+01   0.752000E+01   0.620100E+04   0.620100E+04   0.610970E+04   0.912976E+02   0.483747E+00
   0.860000E+01   0.860000E+01   0.743500E+04   0.743500E+04   0.739260E+04   0.424041E+02   0.196663E+00
   0.859000E+01   0.859000E+01   0.735300E+04   0.735300E+04   0.737967E+04  -0.266664E+02  -0.124700E+00
   0.955000E+01   0.955000E+01   0.853700E+04   0.853700E+04   0.871000E+04  -0.173000E+03  -0.719201E+00
   0.955000E+01   0.955000E+01   0.839900E+04   0.839900E+04   0.871000E+04  -0.311000E+03  -0.130953E+01
   0.976000E+01   0.976000E+01   0.863700E+04   0.863700E+04   0.902290E+04  -0.385900E+03  -0.158840E+01
   0.971000E+01   0.971000E+01   0.863800E+04   0.863800E+04   0.894773E+04  -0.309732E+03  -0.127500E+01
   0.148000E+01   0.148000E+01   0.965000E+03   0.965000E+03   0.998481E+03  -0.334808E+02  -0.322067E+00
   0.147000E+01   0.147000E+01   0.101400E+04   0.101400E+04   0.993253E+03   0.207469E+02   0.199029E+00
   0.236000E+01   0.236000E+01   0.172400E+04   0.172400E+04   0.150293E+04   0.221067E+03   0.200038E+01
   0.244000E+01   0.244000E+01   0.177800E+04   0.177800E+04   0.155305E+04   0.224953E+03   0.202469E+01
   0.255000E+01   0.255000E+01   0.183400E+04   0.183400E+04   0.162309E+04   0.210914E+03   0.188732E+01
   0.860000E+00   0.860000E+00   0.434000E+03   0.434000E+03   0.696681E+03  -0.262681E+03  -0.248137E+01
   0.870000E+00   0.870000E+00   0.522000E+03   0.522000E+03   0.701182E+03  -0.179182E+03  -0.165788E+01
   0.870000E+00   0.870000E+00   0.559000E+03   0.559000E+03   0.701182E+03  -0.142182E+03  -0.139801E+01
   0.890000E+00   0.890000E+00   0.596000E+03   0.596000E+03   0.710221E+03  -0.114221E+03  -0.112151E+01
   0.108800E+02   0.108800E+02   0.108810E+05   0.108810E+05   0.107275E+05   0.153452E+03   0.520590E+00
   0.109200E+02   0.109200E+02   0.108630E+05   0.108630E+05   0.107948E+05   0.682239E+02   0.231751E+00
   0.111000E+02   0.111000E+02   0.110510E+05   0.110510E+05   0.111002E+05  -0.492422E+02  -0.164759E+00
   0.107500E+02   0.107500E+02   0.106140E+05   0.106140E+05   0.105107E+05   0.103293E+03   0.358023E+00
   0.108700E+02   0.108700E+02   0.108100E+05   0.108100E+05   0.107108E+05   0.992223E+02   0.338503E+00
   0.107400E+02   0.107400E+02   0.104010E+05   0.104010E+05   0.104941E+05  -0.931322E+02  -0.328380E+00
   0.104900E+02   0.104900E+02   0.985100E+04   0.985100E+04   0.100847E+05  -0.233689E+03  -0.862824E+00
   0.993000E+01   0.993000E+01   0.900100E+04   0.900100E+04   0.920273E+04  -0.201728E+03  -0.803142E+00
   0.136000E+01   0.136000E+01   0.104100E+04   0.104100E+04   0.108053E+04  -0.395330E+02  -0.378253E+00
   0.190000E+01   0.190000E+01   0.103000E+04   0.103000E+04   0.109644E+04  -0.664423E+02  -0.636017E+00
   0.183000E+01   0.183000E+01   0.109500E+04   0.109500E+04   0.105861E+04   0.363901E+02   0.347128E+00
   0.241000E+01   0.241000E+01   0.160100E+04   0.160100E+04   0.163557E+04  -0.345665E+02  -0.315654E+00
   0.233000E+01   0.233000E+01   0.151200E+04   0.151200E+04   0.158433E+04  -0.723330E+02  -0.665726E+00
   0.261000E+01   0.261000E+01   0.181200E+04   0.181200E+04   0.176665E+04   0.453494E+02   0.406006E+00
   0.562000E+01   0.562000E+01   0.436400E+04   0.436400E+04   0.422871E+04   0.135287E+03   0.892482E+00
   0.551000E+01   0.551000E+01   0.428900E+04   0.428900E+04   0.412332E+04   0.165678E+03   0.110343E+01
   0.553000E+01   0.553000E+01   0.428100E+04   0.428100E+04   0.414240E+04   0.138600E+03   0.923862E+00
   0.550000E+01   0.550000E+01   0.429300E+04   0.429300E+04   0.411380E+04   0.179203E+03   0.119301E+01
   0.551000E+01   0.551000E+01   0.429000E+04   0.429000E+04   0.412332E+04   0.166678E+03   0.110996E+01
   0.520000E+00   0.520000E+00   0.470000E+03   0.470000E+03   0.617506E+03  -0.147506E+03  -0.145591E+01
   0.520000E+00   0.520000E+00   0.453000E+03   0.453000E+03   0.617506E+03  -0.164506E+03  -0.162448E+01
   0.500000E+00   0.500000E+00   0.445000E+03   0.445000E+03   0.608988E+03  -0.163988E+03  -0.161989E+01
   0.790000E+00   0.790000E+00   0.575000E+03   0.575000E+03   0.737351E+03  -0.162351E+03  -0.159473E+01
   0.810000E+00   0.810000E+00   0.567000E+03   0.567000E+03   0.746583E+03  -0.179583E+03  -0.176428E+01
   0.820000E+00   0.820000E+00   0.588000E+03   0.588000E+03   0.751218E+03  -0.163218E+03  -0.160224E+01
   0.130000E+01   0.130000E+01   0.108100E+04   0.108100E+04   0.103292E+04   0.480815E+02   0.459190E+00
   0.134000E+01   0.134000E+01   0.105500E+04   0.105500E+04   0.105425E+04   0.753003E+00   0.720095E-02
   0.440000E+01   0.440000E+01   0.327300E+04   0.327300E+04   0.319684E+04   0.761570E+02   0.575769E+00
   0.346000E+01   0.346000E+01   0.243700E+04   0.243700E+04   0.243574E+04   0.125572E+01   0.104969E-01
   0.347000E+01   0.347000E+01   0.245200E+04   0.245200E+04   0.244338E+04   0.862165E+01   0.719501E-01
   0.109000E+01   0.109000E+01   0.807000E+03   0.807000E+03   0.923985E+03  -0.116985E+03  -0.113558E+01
   0.401000E+01   0.401000E+01   0.293300E+04   0.293300E+04   0.287048E+04   0.625174E+02   0.492856E+00
   0.382000E+01   0.382000E+01   0.265100E+04   0.265100E+04   0.271690E+04  -0.658956E+02  -0.536865E+00
   0.378000E+01   0.378000E+01   0.274900E+04   0.274900E+04   0.268502E+04   0.639828E+02   0.515793E+00
   0.506000E+01   0.506000E+01   0.375400E+04   0.375400E+04   0.378258E+04  -0.285756E+02  -0.203264E+00
   0.505000E+01   0.505000E+01   0.379100E+04   0.379100E+04   0.377339E+04   0.176083E+02   0.124710E+00
   0.493000E+01   0.493000E+01   0.364900E+04   0.364900E+04   0.366392E+04  -0.149211E+02  -0.107554E+00
   0.493000E+01   0.493000E+01   0.363500E+04   0.363500E+04   0.366392E+04  -0.289211E+02  -0.208815E+00
   0.363000E+01   0.363000E+01   0.255900E+04   0.255900E+04   0.256689E+04  -0.789295E+01  -0.650416E-01
