"Pr" "Mp" "Qhyd_2" "Qhyd_9" "Qtot_2" "Qtot_9" "nyears"
1000 12961.217 12591.847 14597.25 11987.34 16970.857 190
100 10839.052 10615.958 11802.816 10347.009 12882.545 192
1000 12707.055 12444.802 14569.762 11902.279 16860.404 192
100 11128.058 10697.432 11871.697 10412.844 12939.802 194
1000 13297.622 12690.284 14593.154 12012.803 16951.662 194
100 11352.798 10867.051 11880.841 10469.079 12967.403 196
1000 13714.842 12862.745 14662.29 12069.863 16974.558 196
100 11251.271 10741.456 11951.17 10370.404 12953.947 198
1000 13299.817 12692.463 14751.661 11944.146 16958.304 198
100 11345.093 10817.708 11774.256 10446.485 12868.81 200
1000 13538.423 12787.939 14353.993 12052.734 16724.928 200
100 11025.578 10635.023 11792.314 10358.592 12813.481 202
1000 13199.055 12480.898 14476.01 11915.858 16683.305 202
100 11318.935 10661.074 11890.961 10359.776 12868.146 204
1000 13476.28 12591.895 14605.495 11942.153 16779.213 204
