"h" "inf" "sup" "maxpost" "period"
"284" -1.17 334.96 960.76 627.6 1
"285" -1.16 335.7 946.01 628.7 1
"286" -1.15 325.44 959.62 629.79 1
"287" -1.14 330.74 955.1 630.89 1
"288" -1.13 345.56 973.91 631.98 1
"289" -1.12 351.32 958.57 633.08 1
"290" -1.11 331.44 964.32 634.17 1
"291" -1.1 342.14 962.91 635.27 1
"292" -1.09 339.01 954.79 636.37 1
"293" -1.08 344.98 953.43 637.47 1
"294" -1.07 324.98 949.3 638.57 1
"295" -1.06 327.09 971.62 639.67 1
"296" -1.05 339.78 961.87 640.77 1
"297" -1.04 328.3 971.28 641.88 1
"298" -1.03 332.31 955.09 642.98 1
"299" -1.02 330.16 959.56 644.08 1
"300" -1.01 328.6 979.12 645.19 1
"301" -1 342.2 975.14 646.29 1
"302" -0.99 343.15 967.02 647.4 1
"303" -0.98 353.98 971.22 648.51 1
"304" -0.97 340.71 973.99 649.61 1
"305" -0.96 339.62 967.87 650.72 1
"306" -0.95 351.3 983.34 651.83 1
"307" -0.94 356.81 984.09 652.94 1
"308" -0.93 339.43 980.08 654.05 1
"309" -0.92 346.67 985.32 655.16 1
"310" -0.91 357.93 977.41 656.28 1
"311" -0.9 342.19 989.04 657.39 1
"312" -0.89 348.86 973.96 658.5 1
"313" -0.88 367.84 984.94 659.62 1
"314" -0.87 343.53 980.43 660.73 1
"315" -0.86 357.89 983.64 661.85 1
"316" -0.85 346.56 991.21 662.97 1
"317" -0.84 345.85 993.58 664.09 1
"318" -0.83 359.44 999.45 665.2 1
"319" -0.82 351.21 997.24 666.32 1
"320" -0.81 373.62 980.51 667.44 1
"321" -0.8 364.85 998.09 668.56 1
"322" -0.79 345.99 998.15 669.69 1
"323" -0.78 369.27 997.15 670.81 1
"324" -0.77 364.75 995 671.93 1
"325" -0.76 368.64 995.42 673.05 1
"326" -0.75 363.99 993.41 674.18 1
"327" -0.74 372.56 1005.2 675.3 1
"328" -0.73 355.66 1005.35 676.43 1
"329" -0.72 372.19 1004.35 677.56 1
"330" -0.71 352.05 1006.05 678.68 1
"331" -0.7 366.34 1018.67 679.81 1
"332" -0.69 378.42 1004.73 680.94 1
"333" -0.68 369.7 1021.1 682.07 1
"334" -0.67 376.1 1007.36 683.2 1
"335" -0.66 375.18 1010.28 684.33 1
"336" -0.65 386.22 1013.98 685.47 1
"337" -0.64 364.78 1017.52 686.6 1
"338" -0.63 392.03 1009.41 687.73 1
"339" -0.62 378.23 1020.2 688.87 1
"340" -0.61 361.54 1019.01 690 1
"341" -0.6 373.67 1023.71 691.14 1
"342" -0.59 386.01 1016.8 692.27 1
"343" -0.58 374.51 1034.09 693.41 1
"344" -0.57 366.96 1013.9 694.55 1
"345" -0.56 385.82 1032.13 695.69 1
"346" -0.55 374.36 1031.75 696.83 1
"347" -0.54 383.87 1026.94 697.97 1
"348" -0.53 384.63 1017.45 699.11 1
"349" -0.52 394.5 1032.03 700.25 1
"350" -0.51 385.12 1027.93 701.39 1
"351" -0.5 406 1024.63 702.54 1
"352" -0.49 380.91 1025.36 703.68 1
"353" -0.48 409.33 1031.52 704.83 1
"354" -0.47 389.75 1027.54 705.97 1
"355" -0.46 398.94 1036.91 707.12 1
"356" -0.45 384.75 1041.9 708.27 1
"357" -0.44 383.32 1041.98 709.41 1
"358" -0.43 384.8 1034.59 710.56 1
"359" -0.42 407.48 1047.02 711.71 1
"360" -0.41 388.07 1053.48 712.86 1
"361" -0.4 398.68 1041.55 714.01 1
"362" -0.39 373.9 1047.98 715.17 1
"363" -0.38 415.7 1041.56 716.32 1
"364" -0.37 394.59 1047.11 717.47 1
"365" -0.36 399.1 1048.88 718.62 1
"366" -0.35 401.3 1053.21 719.78 1
"367" -0.34 407.21 1053.66 720.93 1
"368" -0.33 412.76 1048.02 722.09 1
"369" -0.32 420.17 1059.7 723.25 1
"370" -0.31 412.83 1045.73 724.41 1
"371" -0.3 412.18 1060.7 725.56 1
"372" -0.29 401.2 1052.48 726.72 1
"373" -0.28 401.2 1065.49 727.88 1
"374" -0.27 402.81 1061 729.04 1
"375" -0.26 418.05 1058.58 730.21 1
"376" -0.25 406.29 1057.01 731.37 1
"377" -0.24 405.62 1066.48 732.53 1
"378" -0.23 430.34 1062.81 733.69 1
"379" -0.22 400.52 1069.16 734.86 1
"380" -0.21 403.66 1062.26 736.02 1
"381" -0.2 410.57 1061.62 737.19 1
"382" -0.19 414.04 1070.32 738.36 1
"383" -0.18 399.48 1071.75 739.52 1
"384" -0.17 415.63 1085.74 740.69 1
"385" -0.16 421.68 1073.63 741.86 1
"386" -0.15 406.61 1071.17 743.03 1
"387" -0.14 403.41 1078.91 744.2 1
"388" -0.13 421.46 1067.13 745.37 1
"389" -0.12 423.45 1065.64 746.54 1
"390" -0.11 421.76 1080.47 747.72 1
"391" -0.1 432.91 1084.2 748.89 1
"392" -0.09 440.31 1078.09 750.06 1
"393" -0.08 400.05 1082.66 751.24 1
"394" -0.07 435.54 1078.47 752.41 1
"395" -0.06 432.99 1089.23 753.59 1
"396" -0.05 421.24 1080.93 754.77 1
"397" -0.04 429.82 1088.41 755.94 1
"398" -0.03 434.41 1086.92 757.12 1
"399" -0.02 426.9 1090.78 758.3 1
"400" -0.01 428.71 1092.74 759.48 1
"401" 0 439.03 1092.5 760.66 1
"402" 0.01 447.15 1086.58 761.84 1
"403" 0.02 431.46 1098.89 763.03 1
"404" 0.03 436.29 1095.19 764.21 1
"405" 0.04 435.16 1103.91 765.39 1
"406" 0.05 430.86 1099.14 766.58 1
"407" 0.06 438.26 1088.09 767.76 1
"408" 0.07 423.45 1098.14 768.95 1
"409" 0.08 450.14 1110.75 770.14 1
"410" 0.09 425.96 1106.31 771.32 1
"411" 0.1 451.32 1098.93 772.51 1
"412" 0.11 460.07 1104.33 773.7 1
"413" 0.12 430.99 1109.09 774.89 1
"414" 0.13 447.33 1111.53 776.08 1
"415" 0.14 451.45 1104.9 777.27 1
"416" 0.15 438.46 1105.37 778.46 1
"417" 0.16 448.45 1101.55 779.66 1
"418" 0.17 455.88 1113.25 780.85 1
"419" 0.18 454.87 1109.37 782.04 1
"420" 0.19 457.35 1112.31 783.24 1
"421" 0.2 452.81 1115.66 784.43 1
"422" 0.21 465.95 1113.92 785.63 1
"423" 0.22 475.11 1113.13 786.83 1
"424" 0.23 450.85 1127.42 788.02 1
"425" 0.24 451.46 1129.88 789.22 1
"426" 0.25 470.73 1121.66 790.42 1
"427" 0.26 467.02 1121.53 791.62 1
"428" 0.27 455.32 1131.33 792.82 1
"429" 0.28 453.8 1126.88 794.02 1
"430" 0.29 452.71 1125.7 795.23 1
"431" 0.3 472.79 1131.6 796.43 1
"432" 0.31 446.82 1125.4 797.63 1
"433" 0.32 462.14 1122.72 798.84 1
"434" 0.33 463.14 1145.47 800.04 1
"435" 0.34 462.49 1133.67 801.25 1
"436" 0.35 472.24 1137.45 802.45 1
"437" 0.36 472.21 1132.39 803.66 1
"438" 0.37 468.98 1128.49 804.87 1
"439" 0.38 479.53 1130.3 806.08 1
"440" 0.39 461.77 1144.3 807.29 1
"441" 0.4 480.89 1137.81 808.5 1
"442" 0.41 483.43 1141.83 809.71 1
"443" 0.42 482.96 1133.79 810.92 1
"444" 0.43 469.59 1146.88 812.13 1
"445" 0.44 474.8 1152.34 813.35 1
"446" 0.45 468.98 1149.68 814.56 1
"447" 0.46 486.12 1168.16 815.77 1
"448" 0.47 461.35 1156.46 816.99 1
"449" 0.48 490.8 1148.04 818.21 1
"450" 0.49 474.05 1152.71 819.42 1
"451" 0.5 488.5 1165.05 820.64 1
"452" 0.51 482.3 1152.5 821.86 1
"453" 0.52 476.63 1163.18 823.08 1
"454" 0.53 480.69 1163.44 824.3 1
"455" 0.54 482.14 1152.76 825.52 1
"456" 0.55 500.79 1174.04 826.74 1
"457" 0.56 497.21 1156.83 827.96 1
"458" 0.57 477.54 1159.93 829.18 1
"459" 0.58 483.82 1160.1 830.41 1
"460" 0.59 481.68 1168.52 831.63 1
"461" 0.6 491.89 1163.43 832.86 1
"462" 0.61 497.25 1162.67 834.08 1
"463" 0.62 475.2 1171.95 835.31 1
"464" 0.63 493.99 1173.55 836.53 1
"465" 0.64 503.26 1182.26 837.76 1
"466" 0.65 485.32 1174.22 838.99 1
"467" 0.66 497.81 1171.06 840.22 1
"468" 0.67 497.37 1174.72 841.45 1
"469" 0.68 509.08 1188.23 842.68 1
"470" 0.69 505.79 1194.22 843.91 1
"471" 0.7 501.88 1174.33 845.14 1
"472" 0.71 499.65 1183.26 846.38 1
"473" 0.72 499.43 1182.25 847.61 1
"474" 0.73 493.26 1183.28 848.84 1
"475" 0.74 490.57 1193.67 850.08 1
"476" 0.75 514.67 1197.45 851.32 1
"477" 0.76 510.46 1187.73 852.55 1
"478" 0.77 515.16 1196.57 853.79 1
"479" 0.78 511.64 1185.48 855.03 1
"480" 0.79 516.23 1182.8 856.27 1
"481" 0.8 506.13 1199.26 857.5 1
"482" 0.81 509.77 1201.61 858.74 1
"483" 0.82 517.9 1192.91 859.99 1
"484" 0.83 507.11 1184.04 861.23 1
"485" 0.84 522.34 1199.52 862.47 1
"486" 0.85 522.47 1205.11 863.71 1
"487" 0.86 520.16 1195.67 864.96 1
"488" 0.87 511.25 1206.49 866.2 1
"489" 0.88 525.07 1210.1 867.45 1
"490" 0.89 518.45 1203.82 868.69 1
"491" 0.9 522.54 1206.37 869.94 1
"492" 0.91 530.42 1217.18 871.18 1
"493" 0.92 528.87 1208.74 872.43 1
"494" 0.93 526.4 1212.96 873.68 1
"495" 0.94 526.02 1221.09 874.93 1
"496" 0.95 525.8 1208.78 876.18 1
"497" 0.96 533.57 1206.81 877.43 1
"498" 0.97 534 1220.73 878.68 1
"499" 0.98 527.25 1215.97 879.94 1
"500" 0.99 532.27 1214.37 881.19 1
"501" 1 530.6 1226.71 882.44 1
"502" 1.01 545.7 1219.11 883.7 1
"503" 1.02 531.8 1234.41 884.95 1
"504" 1.03 555.39 1224.35 886.21 1
"505" 1.04 537.47 1225.37 887.47 1
"506" 1.05 543.25 1237.02 888.72 1
