X1_obs         X1_true        Y1_obs         Y1_unbiased    Y1_sim         Y1_res         Y1_stdres      
   0.520000E+01   0.520000E+01   0.382200E+04   0.382200E+04   0.372867E+04   0.933258E+02   0.548005E+00
   0.396000E+01   0.396000E+01   0.278500E+04   0.278500E+04   0.269246E+04   0.925399E+02   0.596040E+00
   0.416000E+01   0.416000E+01   0.305300E+04   0.305300E+04   0.284959E+04   0.203408E+03   0.128197E+01
   0.280000E+01   0.280000E+01   0.186600E+04   0.186600E+04   0.185915E+04   0.684850E+01   0.473201E-01
   0.164000E+01   0.164000E+01   0.110000E+04   0.110000E+04   0.116381E+04  -0.638114E+02  -0.461436E+00
   0.163000E+01   0.163000E+01   0.108900E+04   0.108900E+04   0.115844E+04  -0.694395E+02  -0.502373E+00
   0.149000E+01   0.149000E+01   0.103500E+04   0.103500E+04   0.108438E+04  -0.493770E+02  -0.358300E+00
   0.373000E+01   0.373000E+01   0.240600E+04   0.240600E+04   0.251659E+04  -0.110594E+03  -0.732877E+00
   0.369000E+01   0.369000E+01   0.228600E+04   0.228600E+04   0.248654E+04  -0.200540E+03  -0.133984E+01
   0.198000E+01   0.198000E+01   0.130300E+04   0.130300E+04   0.135288E+04  -0.498784E+02  -0.356843E+00
   0.196000E+01   0.196000E+01   0.126000E+04   0.126000E+04   0.134141E+04  -0.814135E+02  -0.583582E+00
   0.842000E+01   0.842000E+01   0.675900E+04   0.675900E+04   0.711696E+04  -0.357964E+03  -0.159285E+01
   0.831000E+01   0.831000E+01   0.652000E+04   0.652000E+04   0.697688E+04  -0.456881E+03  -0.207603E+01
   0.301000E+01   0.301000E+01   0.195000E+04   0.195000E+04   0.199999E+04  -0.499884E+02  -0.343093E+00
   0.103000E+01   0.103000E+01   0.762000E+03   0.762000E+03   0.856253E+03  -0.942534E+02  -0.691956E+00
   0.746000E+01   0.746000E+01   0.591800E+04   0.591800E+04   0.598509E+04  -0.670911E+02  -0.323036E+00
   0.424000E+01   0.424000E+01   0.303200E+04   0.303200E+04   0.291353E+04   0.118467E+03   0.747257E+00
   0.208000E+01   0.208000E+01   0.132700E+04   0.132700E+04   0.141084E+04  -0.838414E+02  -0.598707E+00
   0.635000E+01   0.635000E+01   0.485000E+04   0.485000E+04   0.481882E+04   0.311800E+02   0.166115E+00
   0.619000E+01   0.619000E+01   0.463000E+04   0.463000E+04   0.465987E+04  -0.298663E+02  -0.162375E+00
   0.620000E+01   0.620000E+01   0.463000E+04   0.463000E+04   0.466973E+04  -0.397325E+02  -0.215996E+00
   0.581000E+01   0.581000E+01   0.429500E+04   0.429500E+04   0.429173E+04   0.326930E+01   0.183505E-01
   0.502000E+01   0.502000E+01   0.363000E+04   0.363000E+04   0.356917E+04   0.608303E+02   0.363448E+00
   0.201000E+01   0.201000E+01   0.139400E+04   0.139400E+04   0.137016E+04   0.238443E+02   0.169880E+00
   0.203000E+01   0.203000E+01   0.141400E+04   0.141400E+04   0.138173E+04   0.322730E+02   0.229686E+00
   0.157000E+01   0.157000E+01   0.109000E+04   0.109000E+04   0.112644E+04  -0.364366E+02  -0.263725E+00
   0.348000E+01   0.348000E+01   0.219800E+04   0.219800E+04   0.233135E+04  -0.133352E+03  -0.897737E+00
   0.336000E+01   0.336000E+01   0.208200E+04   0.208200E+04   0.224464E+04  -0.162642E+03  -0.110399E+01
   0.391000E+01   0.391000E+01   0.280900E+04   0.280900E+04   0.265379E+04   0.155213E+03   0.998445E+00
   0.433000E+01   0.433000E+01   0.320500E+04   0.320500E+04   0.298621E+04   0.218792E+03   0.136080E+01
   0.437000E+01   0.437000E+01   0.322100E+04   0.322100E+04   0.301876E+04   0.202242E+03   0.125584E+01
   0.677000E+01   0.677000E+01   0.545100E+04   0.545100E+04   0.524712E+04   0.203885E+03   0.102765E+01
   0.832000E+01   0.832000E+01   0.712400E+04   0.712400E+04   0.698951E+04   0.134487E+03   0.580942E+00
   0.498000E+01   0.498000E+01   0.347700E+04   0.347700E+04   0.353414E+04  -0.571388E+02  -0.345742E+00
   0.207000E+01   0.207000E+01   0.147700E+04   0.147700E+04   0.140500E+04   0.720027E+02   0.510799E+00
   0.735000E+01   0.735000E+01   0.577200E+04   0.577200E+04   0.586460E+04  -0.926046E+02  -0.451898E+00
   0.740000E+01   0.740000E+01   0.585400E+04   0.585400E+04   0.591924E+04  -0.652384E+02  -0.315995E+00
   0.747000E+01   0.747000E+01   0.586500E+04   0.586500E+04   0.599610E+04  -0.131097E+03  -0.634044E+00
   0.160000E+01   0.160000E+01   0.109800E+04   0.109800E+04   0.114239E+04  -0.443891E+02  -0.321115E+00
   0.144000E+01   0.144000E+01   0.108800E+04   0.108800E+04   0.105845E+04   0.295543E+02   0.214146E+00
   0.137000E+01   0.137000E+01   0.954000E+03   0.954000E+03   0.102260E+04  -0.686037E+02  -0.499611E+00
   0.990000E+00   0.990000E+00   0.785000E+03   0.785000E+03   0.837535E+03  -0.525349E+02  -0.385563E+00
   0.440000E+01   0.440000E+01   0.318200E+04   0.318200E+04   0.304327E+04   0.138727E+03   0.863800E+00
   0.440000E+01   0.440000E+01   0.316400E+04   0.316400E+04   0.304327E+04   0.120727E+03   0.752764E+00
   0.272000E+01   0.272000E+01   0.175800E+04   0.175800E+04   0.180668E+04  -0.486850E+02  -0.338623E+00
   0.270000E+01   0.270000E+01   0.176600E+04   0.176600E+04   0.179367E+04  -0.276711E+02  -0.192416E+00
   0.682000E+01   0.682000E+01   0.545700E+04   0.545700E+04   0.529916E+04   0.157838E+03   0.794822E+00
   0.681000E+01   0.681000E+01   0.535300E+04   0.535300E+04   0.528873E+04   0.642654E+02   0.326569E+00
   0.750000E+01   0.750000E+01   0.626900E+04   0.626900E+04   0.602917E+04   0.239830E+03   0.112022E+01
   0.752000E+01   0.752000E+01   0.620100E+04   0.620100E+04   0.605126E+04   0.149738E+03   0.703380E+00
   0.860000E+01   0.860000E+01   0.743500E+04   0.743500E+04   0.735140E+04   0.836046E+02   0.351265E+00
   0.859000E+01   0.859000E+01   0.735300E+04   0.735300E+04   0.733821E+04   0.147932E+02   0.625782E-01
   0.955000E+01   0.955000E+01   0.853700E+04   0.853700E+04   0.868609E+04  -0.149089E+03  -0.569641E+00
   0.955000E+01   0.955000E+01   0.839900E+04   0.839900E+04   0.868609E+04  -0.287089E+03  -0.110880E+01
   0.976000E+01   0.976000E+01   0.863700E+04   0.863700E+04   0.900174E+04  -0.364735E+03  -0.138078E+01
   0.971000E+01   0.971000E+01   0.863800E+04   0.863800E+04   0.892593E+04  -0.287934E+03  -0.109033E+01
   0.148000E+01   0.148000E+01   0.965000E+03   0.965000E+03   0.101714E+04  -0.521371E+02  -0.379591E+00
   0.147000E+01   0.147000E+01   0.101400E+04   0.101400E+04   0.101207E+04   0.192714E+01   0.140094E-01
   0.236000E+01   0.236000E+01   0.172400E+04   0.172400E+04   0.150532E+04   0.218678E+03   0.153022E+01
   0.244000E+01   0.244000E+01   0.177800E+04   0.177800E+04   0.155380E+04   0.224202E+03   0.156329E+01
   0.255000E+01   0.255000E+01   0.183400E+04   0.183400E+04   0.162155E+04   0.212453E+03   0.147544E+01
   0.860000E+00   0.860000E+00   0.434000E+03   0.434000E+03   0.724332E+03  -0.290332E+03  -0.209665E+01
   0.870000E+00   0.870000E+00   0.522000E+03   0.522000E+03   0.728709E+03  -0.206709E+03  -0.147458E+01
   0.870000E+00   0.870000E+00   0.559000E+03   0.559000E+03   0.728709E+03  -0.169709E+03  -0.125406E+01
   0.890000E+00   0.890000E+00   0.596000E+03   0.596000E+03   0.737496E+03  -0.141496E+03  -0.104468E+01
   0.108800E+02   0.108800E+02   0.108810E+05   0.108810E+05   0.106343E+05   0.246678E+03   0.787114E+00
   0.109200E+02   0.109200E+02   0.108630E+05   0.108630E+05   0.107017E+05   0.161276E+03   0.515133E+00
   0.111000E+02   0.111000E+02   0.110510E+05   0.110510E+05   0.110080E+05   0.430481E+02   0.135592E+00
   0.107500E+02   0.107500E+02   0.106140E+05   0.106140E+05   0.104169E+05   0.197097E+03   0.641204E+00
   0.108700E+02   0.108700E+02   0.108100E+05   0.108100E+05   0.106175E+05   0.192492E+03   0.617281E+00
   0.107400E+02   0.107400E+02   0.104010E+05   0.104010E+05   0.104003E+05   0.717860E+00   0.237087E-02
   0.104900E+02   0.104900E+02   0.985100E+04   0.985100E+04   0.998965E+04  -0.138650E+03  -0.477120E+00
   0.993000E+01   0.993000E+01   0.900100E+04   0.900100E+04   0.910450E+04  -0.103502E+03  -0.380854E+00
   0.136000E+01   0.136000E+01   0.104100E+04   0.104100E+04   0.115778E+04  -0.116785E+03  -0.846326E+00
   0.190000E+01   0.190000E+01   0.103000E+04   0.103000E+04   0.112259E+04  -0.925908E+02  -0.671603E+00
   0.183000E+01   0.183000E+01   0.109500E+04   0.109500E+04   0.108581E+04   0.919403E+01   0.665744E-01
   0.241000E+01   0.241000E+01   0.160100E+04   0.160100E+04   0.164062E+04  -0.396241E+02  -0.278486E+00
   0.233000E+01   0.233000E+01   0.151200E+04   0.151200E+04   0.159097E+04  -0.789714E+02  -0.557814E+00
   0.261000E+01   0.261000E+01   0.181200E+04   0.181200E+04   0.176766E+04   0.443366E+02   0.307651E+00
   0.562000E+01   0.562000E+01   0.436400E+04   0.436400E+04   0.415930E+04   0.204700E+03   0.114370E+01
   0.551000E+01   0.551000E+01   0.428900E+04   0.428900E+04   0.405664E+04   0.232361E+03   0.130783E+01
   0.553000E+01   0.553000E+01   0.428100E+04   0.428100E+04   0.407522E+04   0.205779E+03   0.115879E+01
   0.550000E+01   0.550000E+01   0.429300E+04   0.429300E+04   0.404736E+04   0.245638E+03   0.138221E+01
   0.551000E+01   0.551000E+01   0.429000E+04   0.429000E+04   0.405664E+04   0.233361E+03   0.131334E+01
   0.520000E+00   0.520000E+00   0.470000E+03   0.470000E+03   0.651961E+03  -0.181961E+03  -0.134833E+01
   0.520000E+00   0.520000E+00   0.453000E+03   0.453000E+03   0.651961E+03  -0.198961E+03  -0.147469E+01
   0.500000E+00   0.500000E+00   0.445000E+03   0.445000E+03   0.643636E+03  -0.198636E+03  -0.147266E+01
   0.790000E+00   0.790000E+00   0.575000E+03   0.575000E+03   0.768886E+03  -0.193886E+03  -0.143138E+01
   0.810000E+00   0.810000E+00   0.567000E+03   0.567000E+03   0.777881E+03  -0.210881E+03  -0.155688E+01
   0.820000E+00   0.820000E+00   0.588000E+03   0.588000E+03   0.782396E+03  -0.194396E+03  -0.143448E+01
   0.130000E+01   0.130000E+01   0.108100E+04   0.108100E+04   0.107811E+04   0.288712E+01   0.209187E-01
   0.134000E+01   0.134000E+01   0.105500E+04   0.105500E+04   0.109900E+04  -0.440025E+02  -0.319010E+00
   0.440000E+01   0.440000E+01   0.327300E+04   0.327300E+04   0.319048E+04   0.825226E+02   0.509368E+00
   0.346000E+01   0.346000E+01   0.243700E+04   0.243700E+04   0.244768E+04  -0.106830E+02  -0.707103E-01
   0.347000E+01   0.347000E+01   0.245200E+04   0.245200E+04   0.245513E+04  -0.313032E+01  -0.206968E-01
   0.109000E+01   0.109000E+01   0.807000E+03   0.807000E+03   0.971331E+03  -0.164331E+03  -0.120287E+01
   0.401000E+01   0.401000E+01   0.293300E+04   0.293300E+04   0.287188E+04   0.611230E+02   0.388604E+00
   0.382000E+01   0.382000E+01   0.265100E+04   0.265100E+04   0.272199E+04  -0.709918E+02  -0.461461E+00
   0.378000E+01   0.378000E+01   0.274900E+04   0.274900E+04   0.269089E+04   0.581148E+02   0.375289E+00
   0.506000E+01   0.506000E+01   0.375400E+04   0.375400E+04   0.376271E+04  -0.870966E+01  -0.514108E-01
   0.505000E+01   0.505000E+01   0.379100E+04   0.379100E+04   0.375373E+04   0.372672E+02   0.219333E+00
   0.493000E+01   0.493000E+01   0.364900E+04   0.364900E+04   0.364674E+04   0.225777E+01   0.134578E-01
   0.493000E+01   0.493000E+01   0.363500E+04   0.363500E+04   0.364674E+04  -0.117422E+02  -0.700709E-01
   0.363000E+01   0.363000E+01   0.255900E+04   0.255900E+04   0.257563E+04  -0.166306E+02  -0.108994E+00
