"b1_10"     "a1"     "c1"     "b2_10"     "a2"     "c2"     "Y1_gamma1"     "Y1_gamma2"     "LogPost"     "k1_9"     "k2_9"     "ktype1_9"     "ktype2_9"
-2.21342     120.385     1.67452     1.56148     189.094     1.61931     4.44002     0.00168823     -1363.9     -2.21342     1.56148     0     0
-2.3048     118.889     1.68206     1.77462     189.094     1.63789     8.05343     0.000663051     -1367.01     -2.3048     1.77462     0     0
-2.3048     119.338     1.69105     1.4636     180.262     1.63789     0.180359     0.000663051     -1370.61     -2.3048     1.4636     0     0
-2.45991     119.44     1.67922     1.68257     198.343     1.63789     0.807205     8.42059e-05     -1369.58     -2.45991     1.68257     0     0
-2.32337     120.168     1.67888     1.48229     197.313     1.62014     2.64739     0.00173596     -1366.96     -2.32337     1.48229     0     0
-2.32337     119.953     1.67888     1.77455     191.422     1.63909     2.35325     0.00173596     -1368.98     -2.32337     1.77455     0     0
-2.31032     119.854     1.6787     1.74448     204.268     1.60562     3.64572     0.00282127     -1371.31     -2.31032     1.74448     0     0
-2.36216     120.07     1.67639     1.81014     203.673     1.63121     3.65799     0.00946153     -1373.63     -2.36216     1.81014     0     0
-2.25608     120.45     1.66338     1.59218     212.693     1.62901     10.6838     0.00498979     -1377.58     -2.25608     1.59218     0     0
-2.25608     118.808     1.66284     1.26523     185.858     1.64428     1.04363     0.00042865     -1364.5     -2.25608     1.26523     0     0
-2.19828     118.276     1.66276     1.29998     185.858     1.66067     1.08112     0.00700517     -1365.59     -2.19828     1.29998     0     0
-2.13455     119.007     1.65212     1.277     182.212     1.67169     8.76084     0.000794632     -1373.28     -2.13455     1.277     0     0
-2.31554     121.485     1.63875     1.51292     186.301     1.6502     7.51121     0.00590745     -1373.22     -2.31554     1.51292     0     0
-2.29855     121.734     1.6405     1.43423     196.699     1.64049     3.83281     0.00116234     -1367.96     -2.29855     1.43423     0     0
-2.32706     121.289     1.64413     1.53527     191.144     1.64049     4.38358     0.0044112     -1365.81     -2.32706     1.53527     0     0
-2.36763     122.499     1.6416     1.50367     179.603     1.675     6.45501     0.00162587     -1366.1     -2.36763     1.50367     0     0
-2.19324     122.397     1.63507     1.10917     169.428     1.65338     4.70186     0.00244692     -1370.18     -2.19324     1.10917     0     0
-2.12202     122.224     1.63558     1.11543     166.333     1.6746     9.71036     0.00518652     -1373.16     -2.12202     1.11543     0     0
-2.16925     123.033     1.63831     1.12755     163.452     1.70229     3.18212     0.00251459     -1370.65     -2.16925     1.12755     0     0
-2.26518     121.176     1.64016     1.12201     164.981     1.71303     1.63283     0.0128567     -1377.89     -2.26518     1.12201     0     0
-2.18835     121.857     1.64104     1.12201     173.847     1.67804     4.35282     0.0047978     -1364.86     -2.18835     1.12201     0     0
-2.26235     122.367     1.66238     1.31496     167.846     1.65345     1.04476     0.00402162     -1368.58     -2.26235     1.31496     0     0
-2.26669     122.757     1.66514     1.33969     167.855     1.63142     1.5795     0.000861226     -1368.42     -2.26669     1.33969     0     0
-2.26669     123.214     1.66359     1.50313     162.461     1.65119     5.33406     0.00441298     -1365.77     -2.26669     1.50313     0     0
-2.25087     123.061     1.66693     1.4869     176.905     1.6488     3.02318     0.00852132     -1369.89     -2.25087     1.4869     0     0
-2.20901     123.061     1.66606     1.54987     181.181     1.60736     6.69162     0.000341409     -1369.62     -2.20901     1.54987     0     0
-2.23076     123.35     1.66744     1.55503     170.039     1.66734     12.9814     0.000341409     -1367.75     -2.23076     1.55503     0     0
-2.26915     123.432     1.66711     1.43119     165.846     1.66821     13.0729     0.000341409     -1366.09     -2.26915     1.43119     0     0
-2.1808     123.845     1.66254     1.46468     176.203     1.6756     5.53699     0.00185838     -1368.73     -2.1808     1.46468     0     0
-2.2085     123.678     1.66988     1.46279     178.555     1.65649     4.66652     0.000580262     -1371.27     -2.2085     1.46279     0     0
-2.13178     125.668     1.66988     1.35831     179.89     1.65802     1.66652     0.000580262     -1370.55     -2.13178     1.35831     0     0
-2.13178     127.082     1.66988     1.40702     153.301     1.65003     2.71352     6.71173e-05     -1364.14     -2.13178     1.40702     0     0
-2.03462     126.836     1.66988     1.3314     155.697     1.63684     3.10916     0.00330578     -1372.86     -2.03462     1.3314     0     0
-2.14819     124.355     1.67158     1.34464     143.897     1.67275     6.58915     0.000479937     -1367.93     -2.14819     1.34464     0     0
-2.06692     124.355     1.67158     1.25816     154.826     1.65106     1.4519     0.000479937     -1362.38     -2.06692     1.25816     0     0
-2.06232     124.419     1.66499     1.30433     169.475     1.67113     0.0671989     0.00349023     -1366.71     -2.06232     1.30433     0     0
-2.22723     123.715     1.6708     1.71753     160.34     1.67676     0.0661095     0.00038966     -1365.37     -2.22723     1.71753     0     0
-2.2118     122.911     1.6708     1.35682     165.657     1.66358     2.82819     0.00493224     -1363.7     -2.2118     1.35682     0     0
-2.05739     123.55     1.67446     1.42015     173.517     1.65697     13.0273     0.00228484     -1370.28     -2.05739     1.42015     0     0
-1.98437     124.957     1.67446     1.03776     159.654     1.66057     6.52518     0.00302664     -1367.13     -1.98437     1.03776     0     0
-2.01212     125.658     1.66792     1.21755     163.617     1.64696     0.853665     0.00774804     -1364.29     -2.01212     1.21755     0     0
-2.20087     125.608     1.6648     1.24011     145.306     1.74326     7.52355     0.00212396     -1373.93     -2.20087     1.24011     0     0
-2.24176     125.252     1.66513     1.51424     159.006     1.69174     0.789745     0.00426636     -1368.69     -2.24176     1.51424     0     0
-2.20742     125.252     1.66513     1.73035     159.006     1.6978     2.53915     0.00925724     -1368.78     -2.20742     1.73035     0     0
-2.16504     124.202     1.66998     1.29267     174.484     1.6289     1.96217     0.0050831     -1368.56     -2.16504     1.29267     0     0
-2.16504     124.537     1.6675     1.26277     185.003     1.64103     6.37818     0.004013     -1371.72     -2.16504     1.26277     0     0
-2.22308     123.185     1.66945     1.42741     185.003     1.62426     0.133988     0.0147589     -1371.7     -2.22308     1.42741     0     0
-2.13661     123.185     1.66554     1.37707     198.082     1.62426     1.85669     0.00646     -1364.6     -2.13661     1.37707     0     0
-2.17444     122.448     1.65883     1.44572     174.755     1.62153     0.939642     0.00127593     -1367.89     -2.17444     1.44572     0     0
-2.17444     123.731     1.65612     1.27572     168.736     1.70058     2.51551     0.00401417     -1364.14     -2.17444     1.27572     0     0
-2.11856     126.105     1.6585     1.30199     149.83     1.67736     2.10607     0.0088581     -1372.79     -2.11856     1.30199     0     0
-2.11856     126.105     1.65933     1.25744     154.158     1.6795     3.26015     0.00299042     -1366.16     -2.11856     1.25744     0     0
-2.10683     127.055     1.65933     1.32869     161.266     1.65761     1.54133     0.00225819     -1370.37     -2.10683     1.32869     0     0
-2.18469     127.522     1.65114     1.30256     187.688     1.62539     0.503459     0.00464904     -1366.95     -2.18469     1.30256     0     0
-2.13139     128.032     1.65348     1.56082     181.62     1.65151     2.84829     0.00180753     -1364.66     -2.13139     1.56082     0     0
-2.03927     127.542     1.65926     1.32771     178.688     1.65151     2.71354     0.00325566     -1361.42     -2.03927     1.32771     0     0
-2.13865     127.346     1.65926     1.42025     177.712     1.62547     0.400866     0.00224954     -1363.63     -2.13865     1.42025     0     0
-2.07194     127.365     1.65675     1.43171     167.728     1.63279     1.6529     0.00245132     -1370.74     -2.07194     1.43171     0     0
-2.31447     126.671     1.66432     1.68165     156.666     1.65574     4.72244     9.781e-05     -1370.02     -2.31447     1.68165     0     0
-2.12807     126.317     1.66136     1.30483     151.004     1.69934     5.83273     0.00389391     -1370.36     -2.12807     1.30483     0     0
-2.1899     125.581     1.67003     1.32617     151.004     1.66879     0.524953     0.00323893     -1368.26     -2.1899     1.32617     0     0
-2.27262     125.191     1.67296     1.48818     148.483     1.68694     2.87317     0.00444262     -1376.22     -2.27262     1.48818     0     0
-2.17038     125.433     1.66435     1.38259     152.314     1.69628     0.525351     0.000982116     -1365.5     -2.17038     1.38259     0     0
-2.09298     125.433     1.66435     1.27598     151.381     1.71249     1.85352     0.00424641     -1367.72     -2.09298     1.27598     0     0
-2.28277     124.596     1.65811     1.27598     155.651     1.66973     3.3563     0.00342995     -1366.76     -2.28277     1.27598     0     0
-1.87346     123.377     1.67895     1.23225     159.225     1.66973     0.459398     0.00037372     -1369.58     -1.87346     1.23225     0     0
-1.93908     123.015     1.68706     1.16562     156.968     1.66973     16.8261     0.000231064     -1374.4     -1.93908     1.16562     0     0
-2.10067     122.919     1.68706     1.36991     156.074     1.68977     9.18479     0.000281591     -1366.34     -2.10067     1.36991     0     0
-2.01365     124.718     1.68642     1.29192     159.546     1.64142     5.79983     0.00386561     -1373.45     -2.01365     1.29192     0     0
-1.99358     125.252     1.68478     1.53537     147.779     1.67834     0.621088     0.000206444     -1368.28     -1.99358     1.53537     0     0
-2.1139     123.426     1.6858     1.30787     151.891     1.67758     9.61795     0.00369824     -1367.27     -2.1139     1.30787     0     0
-2.1139     122.275     1.69406     1.59017     161.794     1.64612     11.5166     0.00406148     -1370.67     -2.1139     1.59017     0     0
-2.09505     123.42     1.69362     1.45795     178.82     1.66203     3.96789     0.00154041     -1366.03     -2.09505     1.45795     0     0
-2.04846     123.433     1.69052     1.35623     177.055     1.64955     4.40459     0.00253496     -1368.56     -2.04846     1.35623     0     0
-2.07029     125.46     1.6739     1.50514     163.139     1.65836     1.67763     0.00440668     -1364.26     -2.07029     1.50514     0     0
-2.1228     125.287     1.67671     1.63299     178.097     1.64836     0.922992     0.00942023     -1370.76     -2.1228     1.63299     0     0
