"b1_1"     "a1"     "c1"     "b2_1"     "a2"     "c2"     "b3"     "a3"     "c3"     "Y1_gamma1"     "Y1_gamma2"     "LogPost"     "k1_11"     "k2_11"     "k3_11"     "ktype1_11"     "ktype2_11"     "ktype3_11"
-0.552165     182.397     1.60361     -0.16066     206.208     1.68286     9.65269     51.7524     1.64734     63.4585     0.00877609     -1969.39     -1.51206     8.67975     9.65269     0     3     0
-0.665252     182.127     1.60175     0.491184     206.147     1.69043     9.68534     105.627     1.68234     83.152     0.00747514     -1972.68     -1.50394     6.11046     9.68534     0     3     0
-0.566638     182.517     1.60175     0.711203     204.561     1.69161     9.75196     111.559     1.66472     84.6984     0.00185169     -1968.13     -1.54243     9.46498     9.75196     0     3     0
-0.283956     181.544     1.6054     -0.175446     206.746     1.69026     9.76479     38.3009     1.63965     84.7562     0.00148067     -1975.89     -1.54959     7.8922     9.76479     0     3     0
-0.325879     182.297     1.60341     0.405764     208.409     1.68932     9.6433     42.3031     1.67025     88.7538     0.00205794     -1965.74     -1.57996     9.352     9.6433     0     3     0
-0.303536     183.207     1.6032     -0.0580302     208.409     1.69246     9.60439     79.5304     1.67003     84.0458     0.00221281     -1960.89     -1.47966     6.27736     9.60439     0     3     0
-0.533405     181.052     1.60425     0.225049     208.409     1.68791     9.68224     33.0027     1.6351     86.4598     0.00238286     -1967.04     -1.55157     8.15198     9.68224     0     3     0
-0.62775     180.196     1.604     -0.0153058     209.442     1.68494     9.65859     44.8331     1.67967     78.1562     0.00713695     -1965.57     -1.55157     7.48258     9.65859     0     3     0
-0.262948     180.196     1.6049     -0.0153058     211.012     1.67932     9.60526     37.8074     1.68391     77.2479     0.00922491     -1971.35     -1.45791     7.25227     9.60526     0     3     0
-0.547288     180.196     1.60501     0.0111334     211.579     1.67378     9.4533     70.8023     1.68391     82.1098     0.00200594     -1959     -1.55876     8.42119     9.4533     0     3     0
-0.153534     179.661     1.60634     -0.0298217     212.845     1.67288     9.34051     53.2603     1.6332     78.2077     0.0039933     -1965.03     -1.53244     4.94585     9.34051     0     3     0
-0.0597146     179.617     1.60871     -0.0298217     212.633     1.67514     9.32729     85.5699     1.69164     81.3282     0.0064727     -1963.76     -1.54965     7.41014     9.32729     0     3     0
-0.258143     180.023     1.60871     -0.140219     212.633     1.67514     9.33667     85.1464     1.66934     75.9541     0.00760031     -1962.64     -1.46534     8.86531     9.33667     0     3     0
-0.371438     179.785     1.60964     0.45125     212.656     1.67565     9.41202     66.7533     1.64165     80.7959     0.00293162     -1959.81     -1.51442     8.45233     9.41202     0     3     0
-0.416677     178.252     1.61069     1.04635     214.53     1.67369     9.23023     64.0215     1.62975     78.2317     0.00606036     -1968.93     -1.59782     7.2306     9.23023     0     3     0
-0.581996     178.727     1.61227     1.13105     212.669     1.67369     9.43399     43.3995     1.69461     71.0956     0.00217272     -1966.55     -1.51964     5.83652     9.43399     0     3     0
-0.504696     178.643     1.61227     1.00316     213.903     1.67182     9.43094     86.599     1.64822     64.9197     0.0103275     -1963.71     -1.56795     7.73418     9.43094     0     3     0
-0.652351     179.58     1.60866     0.102635     214.894     1.67463     9.50104     78.1684     1.65234     72.8678     0.0115957     -1966.81     -1.58703     6.40744     9.50104     0     3     0
-0.576501     180.224     1.60688     0.819077     212.482     1.67403     9.338     78.9237     1.68079     71.4587     0.00491034     -1963.38     -1.50645     4.82546     9.338     0     3     0
-0.561736     180.928     1.60688     1.01888     211.124     1.67403     9.338     82.1478     1.65706     81.3339     0.0030253     -1961.27     -1.62395     8.79327     9.338     0     3     0
-0.670006     181.59     1.60439     0.852828     210.817     1.67522     9.29229     32.2722     1.64578     67.9597     0.00370436     -1965.49     -1.57737     6.43202     9.29229     0     3     0
-0.209042     181.849     1.60126     -0.191835     209.872     1.67529     9.39758     34.1108     1.66741     87.7968     0.00103511     -1963.03     -1.61263     9.1401     9.39758     0     3     0
-0.617592     182.305     1.60162     0.331309     209.866     1.67448     9.24848     43.8072     1.68958     79.55     0.00430014     -1958.7     -1.55987     8.65628     9.24848     0     3     0
-0.493319     182.333     1.60172     0.511479     208.801     1.67448     9.24848     51.9485     1.71455     80.6274     0.00346968     -1968     -1.43564     8.95976     9.24848     0     3     0
-0.486682     182.797     1.60026     0.270556     209.223     1.67085     9.26415     102.63     1.66012     76.3864     0.00526538     -1966.3     -1.63903     7.98023     9.26415     0     3     0
-0.59019     182.797     1.59727     -0.198829     207.615     1.67131     9.35236     77.4749     1.68451     77.1989     0.00526538     -1965.8     -1.56326     7.29627     9.35236     0     3     0
-0.42525     183.656     1.59804     1.07781     207.982     1.67131     9.35236     72.8063     1.62219     88.7607     0.00377701     -1971.71     -1.51582     7.13045     9.35236     0     3     0
-0.394617     184.642     1.59744     0.304138     210.198     1.67131     9.28055     57.4641     1.63379     75.0451     0.0012496     -1963.64     -1.51525     6.90305     9.28055     0     3     0
-0.482474     184.22     1.59744     -0.0105963     207.422     1.67667     9.29362     31.1354     1.67037     79.0187     0.00328387     -1960.18     -1.53333     7.93132     9.29362     0     3     0
-0.432295     183.978     1.59605     0.347456     207.54     1.67431     9.29362     26.139     1.64379     84.493     0.00148379     -1963.46     -1.56519     7.76173     9.29362     0     3     0
-0.608292     184.121     1.59605     0.171386     208.744     1.67431     9.10544     51.9694     1.65314     71.0248     0.00676856     -1961.09     -1.54725     6.73456     9.10544     0     3     0
-0.606598     184.121     1.59575     0.196407     209.598     1.67467     9.09557     39.3277     1.63286     70.1407     0.0061092     -1965.73     -1.51364     7.95368     9.09557     0     3     0
-0.353179     184.017     1.59537     0.79646     208.613     1.67039     9.02256     71.8027     1.68908     73.2632     0.0030045     -1968.72     -1.65344     8.46495     9.02256     0     3     0
-0.4924     184.223     1.59578     0.83433     208.417     1.67227     8.91964     66.14     1.65459     69.9977     0.004694     -1966.1     -1.55163     6.24843     8.91964     0     3     0
-0.21781     183.933     1.59513     0.00530982     207.881     1.66882     9.16449     36.2029     1.66787     66.8705     0.00668043     -1964.79     -1.61883     7.72123     9.16449     0     3     0
-0.381841     184.768     1.59378     0.00530982     209.254     1.66882     9.16449     58.8328     1.68991     83.2438     0.000698937     -1960.91     -1.51517     8.13673     9.16449     0     3     0
-0.249605     185.347     1.59347     -0.038733     209.05     1.67014     9.42747     74.1236     1.64705     87.1807     0.00283061     -1967.51     -1.61035     8.53048     9.42747     0     3     0
-0.125157     185.335     1.59347     -0.0106462     209.246     1.67051     9.36267     56.0552     1.64465     78.5696     0.00769116     -1964.9     -1.53128     6.61701     9.36267     0     3     0
-0.588031     184.904     1.59659     -0.135304     209.717     1.6688     9.35036     69.4863     1.67663     87.9708     0.000327953     -1968.07     -1.57061     6.10994     9.35036     0     3     0
-0.328449     185.344     1.59842     -0.069617     213.039     1.66363     9.37292     86.969     1.65202     85.0246     0.00062044     -1962.32     -1.438     7.83911     9.37292     0     3     0
-0.184034     184.567     1.59594     -0.185757     211.426     1.6693     9.56351     53.7136     1.66178     76.3875     0.00155687     -1963.36     -1.47556     7.78384     9.56351     0     3     0
-0.537796     185.092     1.59594     0.459631     211.974     1.6693     9.54952     67.5689     1.6656     75.9242     0.00155687     -1958.71     -1.52586     6.78644     9.54952     0     3     0
