"h" "inf" "sup" "maxpost" "period"
"270" -1.31 246.23 983.8 581.84 1
"271" -1.3 229.51 988.06 583.11 1
"272" -1.29 228.46 986 584.38 1
"273" -1.28 248.15 968.83 585.65 1
"274" -1.27 234.6 968.91 586.92 1
"275" -1.26 233.75 990.23 588.19 1
"276" -1.25 237.21 985.47 589.46 1
"277" -1.24 256.79 997.68 590.73 1
"278" -1.23 251.7 991.7 592.01 1
"279" -1.22 254.97 977.91 593.28 1
"280" -1.21 238.41 992.48 594.56 1
"281" -1.2 239.86 990.15 595.84 1
"282" -1.19 255.68 987.18 597.12 1
"283" -1.18 248.54 987.37 598.4 1
"284" -1.17 261.75 1005.01 599.68 1
"285" -1.16 258.34 1006.79 600.96 1
"286" -1.15 267.54 991.78 602.24 1
"287" -1.14 244.49 1001.15 603.53 1
"288" -1.13 251.47 1013.61 604.81 1
"289" -1.12 258.55 1010.17 606.1 1
"290" -1.11 249.26 979.73 607.39 1
"291" -1.1 275.61 1008.77 608.68 1
"292" -1.09 263.94 1000.04 609.97 1
"293" -1.08 241.15 1014.68 611.26 1
"294" -1.07 251.93 1001.07 612.55 1
"295" -1.06 260.28 1005.81 613.84 1
"296" -1.05 265.43 1019.05 615.14 1
"297" -1.04 279.79 1020.88 616.43 1
"298" -1.03 248.53 1007.54 617.73 1
"299" -1.02 277.01 1003.33 619.03 1
"300" -1.01 263.84 1015.09 620.33 1
"301" -1 271.68 1007.1 621.63 1
"302" -0.99 251.86 1021.26 622.93 1
"303" -0.98 274.14 1018.85 624.23 1
"304" -0.97 277.9 1013.5 625.53 1
"305" -0.96 272.87 1017.37 626.84 1
"306" -0.95 286.7 1048.06 628.14 1
"307" -0.94 278.16 1030.46 629.45 1
"308" -0.93 306.99 1043.22 630.75 1
"309" -0.92 273.36 1034.52 632.06 1
"310" -0.91 272.72 1029.94 633.37 1
"311" -0.9 274.07 1033.33 634.68 1
"312" -0.89 260.25 1037.32 636 1
"313" -0.88 275.33 1039.69 637.31 1
"314" -0.87 272.16 1033.91 638.62 1
"315" -0.86 284.68 1043.4 639.94 1
"316" -0.85 297.79 1050.34 641.25 1
"317" -0.84 288.19 1045.85 642.57 1
"318" -0.83 288.48 1036.44 643.89 1
"319" -0.82 292.63 1033.34 645.21 1
"320" -0.81 287.23 1047.41 646.53 1
"321" -0.8 303.17 1051.26 647.85 1
"322" -0.79 304.18 1059.2 649.17 1
"323" -0.78 284.13 1045.62 650.5 1
"324" -0.77 288.16 1047.03 651.82 1
"325" -0.76 289.9 1051.87 653.15 1
"326" -0.75 284.25 1059.81 654.47 1
"327" -0.74 284.13 1042.5 655.8 1
"328" -0.73 305.9 1041.77 657.13 1
"329" -0.72 305.91 1059.51 658.46 1
"330" -0.71 285.53 1052.61 659.79 1
"331" -0.7 312.91 1057.17 661.12 1
"332" -0.69 315.07 1068.07 662.46 1
"333" -0.68 299.79 1067.73 663.79 1
"334" -0.67 307.66 1078.74 665.13 1
"335" -0.66 310.19 1066.04 666.47 1
"336" -0.65 305.23 1059.04 667.8 1
"337" -0.64 293.41 1079.12 669.14 1
"338" -0.63 314.74 1066.92 670.48 1
"339" -0.62 321.59 1073.91 671.82 1
"340" -0.61 307.13 1082.41 673.16 1
"341" -0.6 297.09 1068.25 674.51 1
"342" -0.59 306.25 1059.98 675.85 1
"343" -0.58 313.61 1085.19 677.2 1
"344" -0.57 304.43 1068.5 678.54 1
"345" -0.56 318.21 1066.35 679.89 1
"346" -0.55 303.83 1067.65 681.24 1
"347" -0.54 298.04 1094.87 682.59 1
"348" -0.53 299.68 1089.3 683.94 1
"349" -0.52 346.85 1092.63 685.29 1
"350" -0.51 326.46 1078.7 686.64 1
"351" -0.5 319.55 1074.47 688 1
"352" -0.49 322.04 1073.55 689.35 1
"353" -0.48 330.19 1096.16 690.71 1
"354" -0.47 316.97 1080.83 692.07 1
"355" -0.46 329.47 1102.88 693.42 1
"356" -0.45 335.25 1100.55 694.78 1
"357" -0.44 340.4 1096.58 696.14 1
"358" -0.43 314.56 1126.28 697.51 1
"359" -0.42 324.7 1103.77 698.87 1
"360" -0.41 323.49 1101.61 700.23 1
"361" -0.4 344.89 1101.57 701.6 1
"362" -0.39 335.74 1101.39 702.96 1
"363" -0.38 326.39 1101.92 704.33 1
"364" -0.37 343.05 1111.25 705.7 1
"365" -0.36 341.28 1119.79 707.06 1
"366" -0.35 338.99 1099.53 708.43 1
"367" -0.34 344.22 1116.9 709.81 1
"368" -0.33 336.15 1117.86 711.18 1
"369" -0.32 360.43 1111.43 712.55 1
"370" -0.31 333.13 1116.32 713.92 1
"371" -0.3 349.74 1115.95 715.3 1
"372" -0.29 345.8 1121.97 716.68 1
"373" -0.28 347.31 1124.09 718.05 1
"374" -0.27 350.54 1111.31 719.43 1
"375" -0.26 342.31 1120.98 720.81 1
"376" -0.25 355.65 1124.47 722.19 1
"377" -0.24 360.81 1133.31 723.57 1
"378" -0.23 370.4 1102.53 724.96 1
"379" -0.22 384.15 1133.79 726.34 1
"380" -0.21 353.53 1134.97 727.72 1
"381" -0.2 354.25 1135.15 729.11 1
"382" -0.19 357.79 1138.03 730.5 1
"383" -0.18 348.5 1137.41 731.89 1
"384" -0.17 369.7 1135.52 733.27 1
"385" -0.16 368.34 1137.34 734.66 1
"386" -0.15 359.6 1132.74 736.06 1
"387" -0.14 336.4 1129.9 737.45 1
"388" -0.13 374.66 1139.6 738.84 1
"389" -0.12 375.16 1138.71 740.24 1
"390" -0.11 368.76 1129.2 741.63 1
"391" -0.1 381.55 1161.91 743.03 1
"392" -0.09 360.05 1130.37 744.42 1
"393" -0.08 392.48 1149.07 745.82 1
"394" -0.07 371.45 1148.28 747.22 1
"395" -0.06 386.29 1162.03 748.62 1
"396" -0.05 373.56 1136.79 750.02 1
"397" -0.04 364.51 1159.84 751.43 1
"398" -0.03 396.83 1151.21 752.83 1
"399" -0.02 384.83 1155.72 754.24 1
"400" -0.01 364.47 1152.52 755.64 1
"401" 0 390.42 1157.92 757.05 1
"402" 0.01 373.43 1146.94 758.46 1
"403" 0.02 386.14 1160.19 759.87 1
"404" 0.03 391.89 1153.7 761.28 1
"405" 0.04 390.01 1156.32 762.69 1
"406" 0.05 383.42 1158.45 764.1 1
"407" 0.06 368 1158.82 765.51 1
"408" 0.07 384.02 1159.29 766.93 1
"409" 0.08 388.61 1180.77 768.34 1
"410" 0.09 401.46 1168.9 769.76 1
"411" 0.1 388.02 1168.64 771.18 1
"412" 0.11 398.86 1172.76 772.59 1
"413" 0.12 399.58 1173.12 774.01 1
"414" 0.13 398.79 1183.27 775.43 1
"415" 0.14 395.74 1182.04 776.86 1
"416" 0.15 398.97 1177.89 778.28 1
"417" 0.16 389.87 1175.75 779.7 1
"418" 0.17 412.72 1171.3 781.13 1
"419" 0.18 391.93 1191.79 782.55 1
"420" 0.19 403.57 1173.86 783.98 1
"421" 0.2 397.9 1175.87 785.41 1
"422" 0.21 399.67 1189.83 786.84 1
"423" 0.22 423.03 1187.75 788.27 1
"424" 0.23 407.26 1180.47 789.7 1
"425" 0.24 402.94 1201.7 791.13 1
"426" 0.25 400.2 1197.4 792.56 1
"427" 0.26 419.79 1200.26 794 1
"428" 0.27 424.84 1189.59 795.43 1
"429" 0.28 411.54 1181.16 796.87 1
"430" 0.29 427.49 1189.43 798.31 1
"431" 0.3 427.17 1202.9 799.74 1
"432" 0.31 418.39 1197.77 801.18 1
"433" 0.32 424.46 1200.13 802.62 1
"434" 0.33 406.73 1210.41 804.06 1
"435" 0.34 423.38 1210.77 805.51 1
"436" 0.35 422.37 1213.18 806.95 1
"437" 0.36 399.29 1205.81 808.4 1
"438" 0.37 412.05 1199.26 809.84 1
"439" 0.38 431.15 1211.8 811.29 1
"440" 0.39 411.33 1227.18 812.74 1
"441" 0.4 427.15 1219.02 814.18 1
"442" 0.41 425.99 1222.43 815.63 1
"443" 0.42 422.54 1223.01 817.08 1
"444" 0.43 425.02 1220.41 818.54 1
"445" 0.44 432.66 1226.42 819.99 1
"446" 0.45 427.71 1218.64 821.44 1
"447" 0.46 457.49 1247.55 822.9 1
"448" 0.47 413.6 1209.11 824.35 1
"449" 0.48 450.84 1243.38 825.81 1
"450" 0.49 434.34 1231.12 827.27 1
"451" 0.5 437.45 1229.44 828.73 1
"452" 0.51 429.35 1233.62 830.19 1
"453" 0.52 431.5 1248.04 831.65 1
"454" 0.53 427.64 1254.3 833.11 1
"455" 0.54 466.76 1220.68 834.57 1
"456" 0.55 433.93 1253.68 836.04 1
"457" 0.56 441.23 1251.64 837.5 1
"458" 0.57 451.67 1225.89 838.97 1
"459" 0.58 444.04 1249.83 840.44 1
"460" 0.59 451.16 1239.5 841.9 1
"461" 0.6 457.37 1256.27 843.37 1
"462" 0.61 418.97 1249.13 844.84 1
"463" 0.62 454.71 1253.57 846.32 1
"464" 0.63 443.49 1252.93 847.79 1
"465" 0.64 450.99 1258.74 849.26 1
"466" 0.65 459.27 1247.1 850.74 1
"467" 0.66 469.22 1251.53 852.21 1
"468" 0.67 433.89 1243.95 853.69 1
"469" 0.68 483.6 1257.15 855.17 1
"470" 0.69 462.57 1270.03 856.64 1
"471" 0.7 434.99 1251.5 858.12 1
"472" 0.71 461.15 1269.25 859.6 1
"473" 0.72 471.5 1244.12 861.09 1
"474" 0.73 458.69 1259.99 862.57 1
"475" 0.74 457.69 1262.8 864.05 1
"476" 0.75 486.74 1275.87 865.54 1
"477" 0.76 476.41 1268.96 867.02 1
"478" 0.77 491.28 1277 868.51 1
"479" 0.78 479.2 1276.22 870 1
"480" 0.79 478.86 1270.33 871.49 1
"481" 0.8 458.99 1285.4 872.98 1
"482" 0.81 481.76 1280.53 874.47 1
"483" 0.82 479.71 1262.42 875.96 1
"484" 0.83 469.53 1273.57 877.45 1
"485" 0.84 492.96 1293.44 878.95 1
"486" 0.85 477.21 1283.53 880.44 1
"487" 0.86 470.54 1294.36 881.94 1
"488" 0.87 482.58 1286.73 883.43 1
"489" 0.88 477.64 1306.79 884.93 1
"490" 0.89 477.43 1290.88 886.43 1
"491" 0.9 496.3 1293.83 887.93 1
"492" 0.91 498.4 1296.24 889.43 1
"493" 0.92 494.55 1305.37 890.93 1
"494" 0.93 496.55 1307.34 892.44 1
"495" 0.94 470.56 1315.24 893.94 1
"496" 0.95 487.47 1311.04 895.45 1
"497" 0.96 490.31 1300.57 896.95 1
"498" 0.97 495.18 1300.49 898.46 1
"499" 0.98 479.55 1300.14 899.97 1
"500" 0.99 522.27 1310.67 901.48 1
"501" 1 493.57 1314.94 902.99 1
"502" 1.01 485.18 1304.43 904.5 1
"503" 1.02 513.67 1307.93 906.01 1
"504" 1.03 535.54 1309.65 907.52 1
"505" 1.04 512.54 1318.5 909.04 1
"506" 1.05 517.76 1324.8 910.55 1
"507" 1.06 511.04 1318.75 912.07 1
"508" 1.07 503.69 1309.09 913.59 1
"509" 1.08 505.71 1330.1 915.11 1
"510" 1.09 537.59 1310.01 916.62 1
"511" 1.1 516.6 1312.35 918.15 1
"512" 1.11 514.07 1330.57 919.67 1
"513" 1.12 531.81 1325.1 921.19 1
"514" 1.13 528.38 1311.43 922.71 1
"515" 1.14 531.79 1334.97 924.24 1
"516" 1.15 530.35 1337.22 925.76 1
"517" 1.16 535.54 1329.83 927.29 1
"518" 1.17 529.17 1323.47 928.82 1
"519" 1.18 544.82 1327.67 930.34 1
"520" 1.19 547.78 1344.84 931.87 1
"521" 1.2 532.89 1335.21 933.4 1
"522" 1.21 526.12 1340.48 934.94 1
"523" 1.22 519.62 1341.65 936.47 1
"524" 1.23 537.56 1332.15 938 1
"525" 1.24 552.67 1361.09 939.54 1
"526" 1.25 536.1 1367.15 941.07 1
"527" 1.26 563.3 1351.18 942.61 1
"528" 1.27 538.24 1353.05 944.15 1
"529" 1.28 558.85 1338.75 945.68 1
"530" 1.29 567.44 1334.51 947.22 1
"531" 1.3 551.68 1352.24 948.76 1
"532" 1.31 563.23 1363.12 950.31 1
"533" 1.32 561 1367.51 951.85 1
"534" 1.33 563.6 1363.59 953.39 1
"535" 1.34 562.97 1350.7 954.94 1
"536" 1.35 555.21 1355.74 956.48 1
"537" 1.36 569.34 1352.04 958.03 1
"538" 1.37 553.76 1377.35 959.58 1
"539" 1.38 570.36 1363.04 961.12 1
"540" 1.39 576.57 1369.27 962.67 1
"541" 1.4 565.99 1382.28 964.22 1
"542" 1.41 559.42 1382.04 965.78 1
"543" 1.42 576.97 1366.18 967.33 1
"544" 1.43 588.36 1374.33 968.88 1
"545" 1.44 589.45 1378.4 970.44 1
"546" 1.45 603.86 1371.71 971.99 1
"547" 1.46 589.6 1391.77 973.55 1
"548" 1.47 593.19 1353.91 975.11 1
"549" 1.48 590.04 1391.2 976.67 1
"550" 1.49 608.85 1392.56 978.22 1
"551" 1.5 591.07 1388.09 979.79 1
"552" 1.51 589.84 1386.66 981.35 1
"553" 1.52 607.29 1395.86 982.91 1
"554" 1.53 605.11 1381.41 984.47 1
"555" 1.54 606.72 1387.38 986.04 1
"556" 1.55 609.44 1402.22 987.6 1
"557" 1.56 603.05 1397.79 989.17 1
"558" 1.57 605.89 1401.99 990.74 1
"559" 1.58 605.29 1396.91 992.31 1
"560" 1.59 606 1385.77 993.88 1
"561" 1.6 602.77 1390.49 995.45 1
"562" 1.61 610.96 1381.63 997.02 1
"563" 1.62 611.48 1412.63 998.59 1
"564" 1.63 610.11 1412.52 1000.16 1
"565" 1.64 636.54 1416.12 1001.74 1
"566" 1.65 635.68 1421.7 1003.31 1
"567" 1.66 615.24 1421.19 1004.89 1
"568" 1.67 632.96 1406.25 1006.47 1
"569" 1.68 643.33 1418.38 1008.05 1
"570" 1.69 649.94 1405.33 1009.63 1
"571" 1.7 632.13 1427.62 1011.21 1
"572" 1.71 642.48 1415.32 1012.79 1
"573" 1.72 635.18 1429.99 1014.37 1
"574" 1.73 641.16 1424.25 1015.95 1
"575" 1.74 654.73 1427.61 1017.54 1
"576" 1.75 638.48 1417.15 1019.12 1
"577" 1.76 639.18 1448.4 1020.71 1
"578" 1.77 657.56 1425.16 1022.3 1
"579" 1.78 661.77 1426.72 1023.89 1
"580" 1.79 665.48 1433.75 1025.48 1
"581" 1.8 663.43 1445.94 1027.07 1
"582" 1.81 671.33 1419.8 1028.66 1
"583" 1.82 673.32 1457.9 1030.25 1
"584" 1.83 649.8 1438.39 1031.84 1
"585" 1.84 684.57 1448.19 1033.44 1
"586" 1.85 657.17 1444 1035.03 1
"587" 1.86 671.01 1433.18 1036.63 1
"588" 1.87 687.08 1440.09 1038.23 1
"589" 1.88 684.34 1456.5 1039.82 1
"590" 1.89 685.48 1437.85 1041.42 1
"591" 1.9 666.83 1461.02 1043.02 1
"592" 1.91 697.73 1462.03 1044.63 1
"593" 1.92 692.66 1465.79 1046.23 1
"594" 1.93 708.2 1451.76 1047.83 1
"595" 1.94 705.67 1456.83 1049.44 1
"596" 1.95 701.16 1451.71 1051.04 1
"597" 1.96 695.28 1449.76 1052.65 1
"598" 1.97 716.38 1460.4 1054.25 1
"599" 1.98 734.53 1470.09 1055.86 1
"600" 1.99 725.36 1456.72 1057.47 1
"601" 2 712.46 1486.06 1059.08 1
"602" 2.01 738.78 1477.54 1060.69 1
"603" 2.02 737.87 1453.31 1062.3 1
"604" 2.03 734.65 1469.32 1063.92 1
"605" 2.04 729.76 1482.4 1065.53 1
"606" 2.05 746.01 1484.25 1067.15 1
"607" 2.06 729.74 1467.46 1068.76 1
"608" 2.07 710.73 1467.5 1070.38 1
"609" 2.08 733.22 1488.19 1072 1
"610" 2.09 739.3 1491.99 1073.62 1
"611" 2.1 751.38 1477.24 1075.24 1
